row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,15.mzXML Peak area,5.mzXML Peak area,10.mzXML Peak area,13.mzXML Peak area,6.mzXML Peak area,3.mzXML Peak area,8.mzXML Peak area,11.mzXML Peak area,7.mzXML Peak area,12.mzXML Peak area,14.mzXML Peak area,16.mzXML Peak area,1.mzXML Peak area,9.mzXML Peak area,4.mzXML Peak area,2.mzXML Peak area,19.mzXML Peak area,28.mzXML Peak area,31.mzXML Peak area,32.mzXML Peak area,18.mzXML Peak area,27.mzXML Peak area,26.mzXML Peak area,25.mzXML Peak area,17.mzXML Peak area,24.mzXML Peak area,20.mzXML Peak area,22.mzXML Peak area,23.mzXML Peak area,29.mzXML Peak area,21.mzXML Peak area,30.mzXML Peak area,45.mzXML Peak area,35.mzXML Peak area,36.mzXML Peak area,42.mzXML Peak area,46.mzXML Peak area,43.mzXML Peak area,34.mzXML Peak area,47.mzXML Peak area,41.mzXML Peak area,39.mzXML Peak area,38.mzXML Peak area,37.mzXML Peak area,44.mzXML Peak area,33.mzXML Peak area,48.mzXML Peak area,40.mzXML Peak area,56.mzXML Peak area,53.mzXML Peak area,55.mzXML Peak area,61.mzXML Peak area,51.mzXML Peak area,63.mzXML Peak area,60.mzXML Peak area,59.mzXML Peak area,54.mzXML Peak area,58.mzXML Peak area,64.mzXML Peak area,49.mzXML Peak area,57.mzXML Peak area,52.mzXML Peak area,50.mzXML Peak area,62.mzXML Peak area,74.mzXML Peak area,81.mzXML Peak area,73.mzXML Peak area,77.mzXML Peak area,68.mzXML Peak area,66.mzXML Peak area,79.mzXML Peak area,76.mzXML Peak area,65.mzXML Peak area,67.mzXML Peak area,78.mzXML Peak area,69.mzXML Peak area,82.mzXML Peak area,70.mzXML Peak area,71.mzXML Peak area,75.mzXML Peak area,93.mzXML Peak area,88.mzXML Peak area,87.mzXML Peak area,92.mzXML Peak area,86.mzXML Peak area,83.mzXML Peak area,94.mzXML Peak area,96.mzXML Peak area,89.mzXML Peak area,91.mzXML Peak area,85.mzXML Peak area,84.mzXML Peak area,90.mzXML Peak area,72.mzXML Peak area,95.mzXML Peak area,80.mzXML Peak area,
16,389.38865677193513,4.04935,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,389.3885507405747,4.048683,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.34082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,389.39040643087935,4.0621333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.08026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,389.38947669297545,4.04805,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,389.38921436104397,4.0599165,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.03912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,389.38955621380126,4.061,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.6649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,389.38917411572277,4.050783,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472.1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,389.3895823141068,4.0486,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413.1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,389.38892798157616,4.051367,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,389.3894309616612,4.05135,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19775.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
